"skill_ids","skill_name","avg_salary"
224,"svn","400000"
38,"solidity","179000"
65,"couchbase","160515"
206,"datarobot","155486"
27,"golang","155000"
109,"mxnet","149000"
119,"dplyr","147633"
73,"vmware","147500"
212,"terraform","146734"
250,"twilio","138500"
220,"gitlab","134126"
98,"kafka","129999"
222,"puppet","129820"
100,"keras","127013"
101,"pytorch","125226"
31,"perl","124686"
223,"ansible","124370"
121,"hugging face","123950"
99,"tensorflow","120647"
63,"cassandra","118407"
238,"notion","118092"
219,"atlassian","117966"
218,"bitbucket","116712"
96,"airflow","116387"
3,"scala","115480"
169,"linux","114883"
234,"confluence","114153"
95,"pyspark","114058"
18,"mongodb","113608"
62,"mongodb","113608"
83,"aurora","113394"
125,"cordova","113270"
81,"gcp","113065"
92,"spark","113002"
193,"splunk","112928"
75,"databricks","112881"
252,"unify","112317"
210,"git","112250"
64,"dynamodb","111840"
80,"snowflake","111578"
6,"shell","111496"
123,"electron","111175"
168,"unix","111123"
97,"hadoop","110888"
93,"pandas","110767"
145,"node.js","110230"
137,"phoenix","109259"
25,"php","109052"
58,"neo4j","108646"
2,"nosql","108331"
141,"express","108221"
85,"watson","108103"
78,"redshift","107969"
233,"jira","107931"
39,"rust","107925"
59,"elasticsearch","107816"
28,"no-sql","107405"
94,"numpy","107398"
67,"db2","107130"
35,"swift","107100"
55,"redis","107044"
57,"postgresql","106853"
112,"plotly","106603"
76,"aws","106440"
13,"c++","105696"
201,"alteryx","105580"
74,"azure","105400"
105,"gdpr","105329"
77,"bigquery","105238"
12,"bash","105075"
20,"powershell","105041"
24,"mongo","104274"
106,"scikit-learn","103932"
185,"looker","103855"
102,"jupyter","103522"
84,"ibm cloud","103313"
213,"kubernetes","103089"
136,"angular","102103"
142,"flask","101863"
149,"asp.net","101667"
70,"sqlite","101625"
1,"python","101512"
216,"github","101498"
211,"jenkins","101419"
56,"mysql","101381"
204,"visio","101036"
79,"oracle","100964"
187,"qlik","100933"
4,"java","100214"
118,"theano","100000"
133,"chainer","100000"
15,"matlab","99909"
225,"unity","99617"
184,"dax","99549"
115,"ggplot2","99416"
108,"matplotlib","99307"
214,"docker","99262"
217,"yarn","99150"
120,"seaborn","98748"
26,"c","98715"
5,"r","98708"
139,"django","98544"
215,"flow","98020"
182,"tableau","97978"
154,"node","97900"
104,"spring","97454"
8,"go","97267"
14,"c#","97248"
194,"ssis","97235"
0,"sql","96435"
61,"sql server","96191"
60,"mariadb","96000"
148,"jquery","95772"
16,"t-sql","95723"
191,"microstrategy","94486"
22,"vba","93845"
186,"sas","93707"
7,"sas","93707"
255,"webex","92500"
189,"sap","92446"
183,"power bi","92324"
45,"pascal","92000"
9,"javascript","91805"
197,"ssrs","91537"
200,"cognos","90407"
232,"airtable","90006"
242,"clickup","90000"
248,"zoom","89791"
17,"typescript","89323"
227,"unreal","89113"
195,"sharepoint","89027"
110,"react","88567"
151,"drupal","88328"
196,"powerpoint","88316"
82,"firebase","87500"
66,"firebase","87500"
23,"crystal","87327"
21,"visual basic","86972"
177,"arch","86835"
170,"windows","86513"
181,"excel","86419"
254,"symphony","86267"
249,"microsoft teams","85570"
32,"assembly","85390"
237,"asana","85339"
11,"css","85317"
199,"spss","85293"
202,"ms access","84873"
46,"cobol","84745"
10,"html","84383"
192,"sheets","84130"
226,"terminal","83567"
247,"slack","83442"
188,"word","82941"
221,"chef","82825"
124,"selenium","82500"
44,"fortran","82500"
30,"ruby","80960"
144,"ruby","80960"
198,"outlook","80680"
241,"monday.com","79000"
190,"spreadsheet","78466"
235,"planner","77039"
243,"workfront","76820"
240,"wrike","75000"
29,"julia","73680"
229,"npm","73419"
37,"dart","72674"
51,"erlang","72500"
236,"smartsheet","71221"
107,"tidyverse","70600"
42,"vb.net","69600"
253,"wire","68375"
122,"opencv","67818"
47,"sass","67699"
88,"colocation","67500"
239,"trello","65193"
138,"vue","65000"
176,"macos","57933"
116,"graphql","57009"
153,"ruby on rails","51059"
